Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
82.9,4.4,22.2,7.9,12.0,26.5,3.0,Wrought Iron,4.6
74.6,6.6,13.0,7.56,27.8,6.6,1.5,Wrought Iron,4.13
2.6,7.52,14.84,7.8,18.63,26.67,1.53,Open Hearth iron,3.46
12.77,4.11,34.57,4.2,26.62,71.21,1.51,Bessemer Steel,6.74
3.3,7.6,37.0,6.4,8.7,70.1,1.5,Wrought Iron,3.23
3.3,7.6,37.0,6.88,8.7,70.1,3.0,Bessemer Steel,3.81
9.67,6.13,32.9,8.0,2.27,47.0,3.04,Open Hearth iron,7.12
9.7,6.0,33.0,3.59,2.3,47.1,1.5,Wrought Iron,3.77
48.9,6.62,23.23,3.9,14.82,35.07,2.95,Wrought Iron,1.56
11.4,7.3,28.4,10.36,16.6,20.3,1.5,Wrought Iron,3.26
204.93,4.61,2.95,4.1,37.99,0.64,2.93,Bessemer Steel,2.16
59.8,4.5,30.8,5.13,4.4,51.7,3.0,Open Hearth iron,5.12
204.88,4.72,2.99,11.9,38.2,0.66,3.09,Bessemer Steel,2.77
11.4,7.3,28.4,7.7,16.6,20.3,3.0,Wrought Iron,2.2
28.2,6.8,24.8,4.29,15.8,52.1,1.5,Open Hearth iron,1.9
52.14,5.81,32.0,2.0,15.74,13.23,1.6,Bessemer Steel,2.13
12.61,4.13,34.68,7.9,26.64,71.24,1.46,Wrought Iron,13.08
4.85,7.55,54.18,8.0,5.54,70.29,3.08,Open Hearth iron,5.63
40.29,6.29,25.46,7.02,5.96,26.63,1.5,Bessemer Steel,3.83
29.78,7.36,46.28,1.0,20.87,18.49,3.16,Open Hearth iron,0.78
31.9,7.1,12.4,8.25,33.5,12.8,3.0,Bessemer Steel,0.97
13.12,5.36,33.09,4.0,6.89,40.21,3.06,Bessemer Steel,2.37
20.19,7.1,36.94,16.38,3.26,44.99,3.0,Bessemer Steel,6.71
26.06,6.79,27.21,6.07,7.63,33.35,3.0,Bessemer Steel,3.81
111.97,3.77,7.01,7.9,3.48,4.41,2.88,Wrought Iron,6.33
29.8,7.3,46.4,3.5,20.9,18.6,3.0,Wrought Iron,1.9
80.92,4.48,23.02,2.4,11.84,27.62,1.5,Bessemer Steel,2.31
174.34,5.25,17.4,6.47,15.39,11.23,3.0,Wrought Iron,1.55
10.0,8.8,31.2,3.96,7.2,31.2,3.0,Wrought Iron,1.52
13.05,5.37,33.18,7.9,6.81,40.3,3.05,Open Hearth iron,4.27
17.8,7.2,25.8,7.6,9.5,36.0,3.0,Wrought Iron,1.9
31.87,7.17,12.45,1.9,33.61,12.8,3.12,Open Hearth iron,0.24
177.96,5.05,29.05,12.1,18.25,46.15,1.63,Open Hearth iron,4.23
111.94,4.61,13.83,11.9,15.98,17.58,2.89,Wrought Iron,2.33
9.7,5.86,32.98,8.0,2.4,47.09,3.11,Bessemer Steel,8.15
4.83,5.36,32.97,9.04,2.22,74.31,3.0,Bessemer Steel,5.69
109.89,5.21,32.09,11.9,15.46,52.97,1.5,Wrought Iron,2.89
59.8,4.5,30.8,1.2,4.4,51.7,3.0,Bessemer Steel,1.6
3.22,7.61,37.14,7.6,8.79,70.08,1.66,Bessemer Steel,3.09
5.85,3.54,42.54,17.3,1.92,87.64,2.74,Bessemer Steel,8.99
17.87,7.64,25.54,4.2,2.61,46.04,1.37,Open Hearth iron,1.4
31.94,7.16,12.3,2.0,33.45,12.72,1.45,Bessemer Steel,0.25
1.66,6.08,47.25,7.6,4.35,7.75,1.47,Bessemer Steel,11.59
35.2,6.2,17.2,5.8,14.4,13.9,3.0,Bessemer Steel,3.1
28.9,7.5,22.4,2.85,3.8,36.3,3.0,Wrought Iron,1.83
177.9,4.8,29.1,2.0,18.2,46.1,3.0,Bessemer Steel,2.1
17.7,7.6,25.7,1.5,2.6,46.1,1.5,Bessemer Steel,0.4
19.7,4.6,28.4,6.11,3.9,34.2,3.0,Wrought Iron,2.32
19.7,4.6,28.4,5.13,3.9,34.2,3.0,Wrought Iron,2.3
0.6,3.1,55.4,8.64,68.9,65.0,1.5,Open Hearth iron,9.94
28.9,7.5,22.4,8.9,3.8,36.3,3.0,Open Hearth iron,3.97
279.18,4.88,10.27,11.78,23.67,6.95,1.5,Open Hearth iron,2.12
74.48,5.6,24.11,8.1,7.37,15.32,2.82,Wrought Iron,4.79
5.64,3.81,41.96,17.03,1.92,86.91,3.0,Bessemer Steel,8.69
82.9,4.4,22.2,6.0,12.0,26.5,3.0,Wrought Iron,5.6
28.9,7.5,22.4,5.61,3.8,36.3,3.0,Bessemer Steel,2.83
66.7,5.6,22.2,8.63,7.0,17.7,3.0,Open Hearth iron,5.74
2.9,9.5,21.7,4.86,34.5,9.4,1.5,Open Hearth iron,4.17
15.0,7.0,7.6,10.96,23.2,30.9,1.5,Bessemer Steel,4.23
205.0,4.7,2.8,2.06,38.1,0.6,3.0,Bessemer Steel,1.32
0.6,3.1,55.4,12.0,68.9,65.0,1.5,Bessemer Steel,17.6
386.0,4.5,3.0,1.4,32.1,2.6,3.0,Bessemer Steel,0.3
74.6,6.6,13.0,2.61,27.8,6.6,1.5,Bessemer Steel,1.25
4.85,7.53,54.48,17.5,5.67,70.44,2.95,Bessemer Steel,11.06
6.84,7.3,37.6,15.24,2.0,44.9,3.0,Bessemer Steel,6.89
4.89,7.5,54.4,5.9,5.7,70.4,3.0,Wrought Iron,6.2
35.2,6.2,17.2,10.17,14.4,13.9,3.0,Open Hearth iron,4.04
9.7,6.0,33.0,4.13,2.3,47.1,3.0,Bessemer Steel,4.62
17.7,7.6,25.7,12.1,2.6,46.1,1.5,Bessemer Steel,2.8
11.4,7.3,28.4,1.2,16.6,20.3,1.5,Wrought Iron,0.7
17.68,7.74,25.49,1.6,2.63,46.18,1.5,Wrought Iron,0.28
5.67,7.98,21.57,5.5,13.95,28.56,3.0,Open Hearth iron,1.74
54.07,7.14,19.3,7.12,19.29,5.92,1.5,Bessemer Steel,11.13
2.27,8.56,28.85,9.3,5.02,24.45,1.54,Bessemer Steel,28.79
4.89,7.5,54.4,7.07,5.7,70.4,3.0,Bessemer Steel,5.14
21.2,4.4,34.3,16.9,3.7,63.6,3.0,Open Hearth iron,5.7
2.78,7.45,14.78,11.6,18.57,26.62,2.96,Wrought Iron,10.65
3.94,6.96,24.59,5.6,2.38,62.66,1.51,Open Hearth iron,10.41
177.87,4.81,29.06,7.8,18.29,46.03,3.17,Bessemer Steel,4.41
6.86,7.3,37.68,2.2,2.14,44.74,2.9,Wrought Iron,1.77
74.4,5.6,24.2,4.72,7.5,15.3,1.5,Open Hearth iron,2.83
1.3,7.0,29.4,7.85,7.2,32.4,1.5,Open Hearth iron,3.77
28.24,6.59,24.87,3.6,15.84,52.06,1.43,Wrought Iron,2.41
31.9,7.1,12.4,4.06,33.5,12.8,1.5,Bessemer Steel,1.97
35.2,6.2,17.2,11.58,14.4,13.9,1.5,Open Hearth iron,4.07
19.7,4.6,28.4,11.21,3.9,34.2,1.5,Wrought Iron,3.44
13.25,5.27,33.12,4.1,6.99,40.37,1.33,Wrought Iron,3.55
13.15,7.0,28.8,3.88,4.9,35.8,1.5,Open Hearth iron,1.46
6.79,7.31,37.67,1.9,2.04,44.93,1.47,Bessemer Steel,2.39
57.0,7.3,17.8,1.52,11.7,15.8,3.0,Wrought Iron,0.51
23.7,6.2,31.2,1.5,10.8,30.9,1.5,Wrought Iron,2.1
114.0,4.5,13.0,6.02,34.7,5.6,1.5,Bessemer Steel,0.78
17.95,7.17,25.88,17.1,9.33,36.09,3.05,Open Hearth iron,3.12
21.2,4.4,34.3,16.9,3.7,63.6,1.5,Wrought Iron,5.5
2.76,9.46,24.78,7.8,6.18,6.05,3.12,Open Hearth iron,21.15
17.8,7.2,25.8,3.12,9.5,36.0,1.5,Wrought Iron,1.23
31.26,6.79,24.02,15.87,16.59,49.1,3.0,Bessemer Steel,4.86
112.0,4.5,13.8,4.61,16.0,17.6,1.5,Wrought Iron,1.92
12.15,7.0,28.6,9.42,1.1,52.5,1.5,Open Hearth iron,7.81
14.76,6.87,7.56,12.1,23.41,30.84,3.15,Open Hearth iron,6.02
17.8,7.2,25.8,5.43,9.5,36.0,1.5,Open Hearth iron,1.55
21.2,4.4,34.3,16.9,3.7,63.6,1.5,Bessemer Steel,6.4
28.95,6.98,26.69,7.11,7.98,14.85,1.5,Bessemer Steel,7.59
17.7,7.6,25.7,6.1,2.6,46.1,3.0,Bessemer Steel,2.2
17.8,7.2,25.8,10.15,9.5,36.0,3.0,Open Hearth iron,2.92
15.0,7.0,7.6,1.5,23.2,30.9,1.5,Bessemer Steel,0.9
85.97,5.85,25.97,8.82,21.04,40.7,1.5,Wrought Iron,1.93
82.9,4.4,22.2,8.7,12.0,26.5,1.5,Open Hearth iron,5.71
12.15,7.0,28.6,9.6,1.1,52.5,3.0,Wrought Iron,9.4
62.12,6.49,34.85,12.56,7.23,45.29,1.5,Wrought Iron,6.27
431.09,5.95,12.22,17.7,40.7,7.24,2.88,Wrought Iron,2.08
13.57,7.15,27.86,5.11,1.48,50.87,2.62,Wrought Iron,2.91
59.8,4.5,30.8,7.19,4.4,51.7,3.0,Wrought Iron,7.03
31.92,7.08,12.57,1.8,33.51,12.68,1.46,Wrought Iron,0.19
31.9,7.1,12.4,10.3,33.5,12.8,3.0,Bessemer Steel,2.37
20.6,7.3,18.0,2.13,10.9,26.0,3.0,Open Hearth iron,1.02
51.5,4.9,28.4,7.6,9.6,22.3,3.0,Open Hearth iron,6.2
177.9,4.8,29.1,5.9,18.2,46.1,3.0,Open Hearth iron,3.6
177.9,4.8,29.1,3.81,18.2,46.1,1.5,Open Hearth iron,2.77
12.29,4.32,34.03,2.33,25.46,70.79,1.5,Bessemer Steel,2.13
2.63,7.4,14.8,7.7,18.7,26.7,1.5,Open Hearth iron,3.5
110.0,5.3,32.0,10.0,15.5,53.1,3.0,Wrought Iron,1.7
57.0,7.3,17.8,6.44,11.7,15.8,1.5,Open Hearth iron,1.87
205.0,4.7,2.8,7.55,38.1,0.6,1.5,Wrought Iron,2.11
1.3,7.0,29.4,4.01,7.2,32.4,3.0,Wrought Iron,1.61
8.0,6.8,72.8,1.0,34.0,46.2,1.5,Open Hearth iron,0.4
54.88,5.72,31.78,2.95,14.65,12.19,1.5,Bessemer Steel,2.39
112.0,3.8,7.0,6.0,3.5,4.5,3.0,Open Hearth iron,4.2
4.89,7.5,54.4,10.55,5.7,70.4,3.0,Open Hearth iron,7.3
5.7,3.7,42.6,3.73,1.9,87.8,1.5,Open Hearth iron,2.82
6.84,7.3,37.6,4.0,2.0,44.9,1.5,Bessemer Steel,3.0
12.7,4.2,34.5,5.42,26.6,71.2,3.0,Wrought Iron,8.59
13.15,7.0,28.8,16.96,4.9,35.8,1.5,Open Hearth iron,7.13
110.02,5.35,32.05,1.4,15.44,53.19,1.6,Wrought Iron,0.51
22.56,7.24,17.91,17.17,11.01,25.82,3.0,Bessemer Steel,3.15
1.3,7.0,29.4,2.43,7.2,32.4,3.0,Bessemer Steel,1.26
14.86,7.03,7.53,8.1,23.32,30.87,1.7,Wrought Iron,6.17
31.9,7.1,12.4,12.1,33.5,12.8,3.0,Bessemer Steel,3.6
82.9,4.4,22.2,10.0,12.0,26.5,3.0,Open Hearth iron,6.2
34.77,6.31,42.07,11.62,8.11,53.58,1.5,Open Hearth iron,8.32
20.6,7.3,18.0,4.83,10.9,26.0,1.5,Open Hearth iron,1.53
4.89,7.5,54.4,6.9,5.7,70.4,1.5,Bessemer Steel,5.45
17.75,7.16,25.72,7.7,9.54,35.87,1.51,Open Hearth iron,1.83
13.2,5.3,33.1,13.82,6.9,40.3,1.5,Open Hearth iron,5.97
112.0,4.5,13.8,4.1,16.0,17.6,1.5,Wrought Iron,2.0
6.84,7.3,37.6,4.77,2.0,44.9,1.5,Open Hearth iron,3.27
1.3,7.0,29.4,17.0,7.2,32.4,3.0,Wrought Iron,6.0
177.9,4.8,29.1,5.1,18.2,46.1,3.0,Bessemer Steel,3.6
8.0,6.8,72.8,8.17,34.0,46.2,1.5,Wrought Iron,10.07
9.7,6.0,33.0,4.1,2.3,47.1,3.0,Wrought Iron,4.2
194.58,4.82,4.16,2.77,36.52,2.23,1.5,Bessemer Steel,1.7
1.3,7.0,29.4,3.6,7.2,32.4,3.0,Open Hearth iron,1.3
31.9,7.1,12.4,6.16,33.5,12.8,1.5,Bessemer Steel,2.98
7.52,9.19,24.2,11.64,7.32,6.17,3.0,Bessemer Steel,18.78
29.8,7.3,46.4,5.5,20.9,18.6,1.5,Open Hearth iron,1.5
21.2,4.4,34.3,7.7,3.7,63.6,3.0,Wrought Iron,4.2
431.0,5.9,12.2,6.34,40.6,7.2,3.0,Bessemer Steel,0.9
9.95,8.72,31.25,5.6,7.29,31.16,3.04,Open Hearth iron,2.36
13.2,5.3,33.1,16.52,6.9,40.3,1.5,Open Hearth iron,5.92
2.78,9.4,24.7,4.85,6.1,6.2,1.5,Wrought Iron,13.99
13.14,7.18,28.88,17.3,4.76,35.66,1.5,Open Hearth iron,7.16
112.0,3.8,7.0,8.0,3.5,4.5,1.5,Wrought Iron,6.1
20.6,7.3,18.0,7.73,10.9,26.0,1.5,Open Hearth iron,2.22
35.21,6.19,17.03,5.8,14.27,13.83,3.08,Bessemer Steel,3.11
28.2,6.8,24.8,5.47,15.8,52.1,1.5,Bessemer Steel,2.79
137.0,4.7,34.8,4.91,14.9,45.8,1.5,Bessemer Steel,6.5
12.15,7.0,28.6,2.06,1.1,48.77,1.5,Open Hearth iron,2.0
17.7,7.6,25.7,5.76,2.6,46.1,1.5,Open Hearth iron,1.22
4.89,7.5,54.4,11.53,5.7,70.4,1.5,Open Hearth iron,7.74
19.65,4.68,28.25,7.6,3.98,34.24,3.11,Bessemer Steel,3.21
4.15,6.67,24.58,5.7,2.38,62.57,1.55,Wrought Iron,9.42
3.3,7.6,37.0,1.1,8.7,70.1,3.0,Wrought Iron,0.7
17.74,7.04,25.79,11.7,9.39,35.91,2.98,Open Hearth iron,3.62
10.0,8.8,31.2,3.6,7.2,31.2,3.0,Wrought Iron,1.4
57.0,7.3,17.8,4.81,11.7,15.8,3.0,Bessemer Steel,1.99
110.0,5.3,32.0,5.13,15.5,53.1,3.0,Bessemer Steel,1.17
9.7,6.0,33.0,12.0,2.3,47.1,1.5,Open Hearth iron,6.9
5.02,7.56,54.37,12.0,5.63,70.56,1.71,Wrought Iron,8.51
74.09,4.44,25.48,7.88,9.1,36.11,1.5,Open Hearth iron,5.71
2.89,9.36,21.63,4.2,34.55,9.26,3.01,Wrought Iron,2.93
386.0,4.5,3.0,12.08,32.1,2.6,3.0,Bessemer Steel,2.21
152.38,5.62,8.13,11.76,28.71,6.0,1.5,Open Hearth iron,3.23
1.26,6.97,29.21,11.7,7.22,32.37,3.0,Wrought Iron,6.33
177.9,4.8,29.1,9.55,18.2,46.1,1.5,Open Hearth iron,3.9
21.2,4.4,34.3,7.65,3.7,63.6,1.5,Bessemer Steel,3.69
21.2,4.4,34.3,7.7,3.7,63.6,1.5,Wrought Iron,4.3
49.0,6.7,23.4,9.31,14.7,35.1,3.0,Wrought Iron,4.19
17.7,7.6,25.7,8.0,2.6,46.1,1.5,Open Hearth iron,2.2
1.86,6.86,29.65,1.64,8.16,34.31,1.5,Bessemer Steel,1.81
112.0,4.5,13.8,17.7,16.0,17.6,3.0,Open Hearth iron,3.0
3.3,7.6,37.0,1.1,8.7,70.1,1.5,Open Hearth iron,0.7
177.9,4.8,29.1,5.9,18.2,46.1,1.5,Wrought Iron,4.2
7.99,6.81,72.9,1.0,34.12,46.25,1.67,Bessemer Steel,0.51
112.0,3.8,7.0,2.38,3.5,4.5,3.0,Wrought Iron,2.78
31.9,7.1,12.4,1.9,33.5,12.8,1.5,Wrought Iron,0.2
114.0,4.5,13.0,6.1,34.7,5.6,1.5,Open Hearth iron,0.9
2.78,9.4,24.7,6.13,6.1,6.2,1.5,Bessemer Steel,15.15
112.0,3.8,7.0,7.53,3.5,4.5,1.5,Wrought Iron,5.75
11.4,7.3,28.4,3.8,16.6,20.3,1.5,Bessemer Steel,1.6
2.63,7.4,14.8,10.12,18.7,26.7,3.0,Wrought Iron,12.18
2.78,9.4,24.7,2.2,6.1,6.2,3.0,Open Hearth iron,7.18
28.9,7.5,22.4,3.85,3.8,36.3,3.0,Open Hearth iron,2.21
74.44,5.43,24.29,1.3,7.38,15.38,3.12,Open Hearth iron,1.4
112.0,3.8,7.0,7.87,3.5,4.5,1.5,Bessemer Steel,5.17
4.08,6.8,24.6,5.6,2.5,62.6,3.0,Bessemer Steel,10.5
2.78,9.4,24.7,4.69,6.1,6.2,3.0,Wrought Iron,12.19
12.15,7.0,28.6,8.96,1.1,52.5,3.0,Open Hearth iron,8.58
31.9,7.1,12.4,2.04,33.5,12.8,3.0,Bessemer Steel,0.36
4.08,6.8,24.6,6.02,2.5,62.6,3.0,Wrought Iron,10.17
2.3,8.71,28.75,7.7,4.91,24.34,1.48,Bessemer Steel,20.9
177.9,4.74,29.33,1.9,18.07,45.95,3.04,Open Hearth iron,2.05
114.0,4.5,13.0,17.2,34.7,5.6,3.0,Bessemer Steel,1.6
51.5,4.9,28.4,11.6,9.6,22.3,3.0,Wrought Iron,7.9
28.74,7.45,22.49,11.6,3.74,36.28,2.83,Open Hearth iron,6.09
9.7,6.0,33.0,6.0,2.3,47.1,1.5,Open Hearth iron,5.4
57.0,7.3,17.8,3.7,11.7,15.8,1.5,Bessemer Steel,1.4
1.3,7.0,29.4,5.06,7.2,32.4,3.0,Wrought Iron,2.16
19.7,4.6,28.4,8.39,3.9,34.2,1.5,Open Hearth iron,2.69
2.85,9.49,24.65,4.2,6.26,6.26,1.52,Open Hearth iron,11.02
74.4,5.6,24.2,4.91,7.5,15.3,1.5,Bessemer Steel,2.7
11.4,7.3,28.4,11.31,16.6,20.3,1.5,Wrought Iron,2.86
23.7,6.3,31.11,6.0,10.67,30.95,1.59,Wrought Iron,4.52
3.3,7.6,37.0,7.19,8.7,70.1,3.0,Wrought Iron,3.78
17.7,7.6,25.7,17.1,2.6,46.1,1.5,Open Hearth iron,5.8
5.61,3.72,42.63,4.0,2.05,87.88,1.33,Wrought Iron,3.11
3.3,7.6,37.0,1.51,8.7,70.1,3.0,Open Hearth iron,0.77
66.7,5.6,22.2,4.0,7.0,17.7,1.5,Wrought Iron,3.5
386.05,4.42,3.03,6.1,32.16,2.64,1.61,Open Hearth iron,0.8
114.0,4.5,13.0,6.62,34.7,5.6,1.5,Wrought Iron,1.14
29.8,7.3,46.4,2.55,20.9,18.6,3.0,Open Hearth iron,1.48
110.0,5.3,32.0,2.42,15.5,53.1,1.5,Open Hearth iron,0.73
114.0,4.5,13.0,9.07,34.7,5.6,1.5,Wrought Iron,1.11
51.59,4.92,28.44,7.5,9.74,22.23,2.8,Open Hearth iron,6.09
205.0,4.7,2.8,8.12,38.1,0.6,3.0,Bessemer Steel,2.31
74.4,5.6,24.2,7.39,7.5,15.3,3.0,Wrought Iron,4.35
7.89,6.77,72.74,9.7,34.06,46.42,1.41,Bessemer Steel,9.71
11.4,7.3,28.4,4.79,16.6,20.3,3.0,Bessemer Steel,2.3
85.0,4.9,29.4,11.5,5.4,1.2,1.5,Bessemer Steel,4.34
385.95,4.42,3.0,4.1,32.13,2.58,1.52,Open Hearth iron,0.73
34.07,5.72,30.16,4.4,10.35,27.69,1.5,Open Hearth iron,3.16
0.85,2.95,55.6,6.2,68.83,65.03,1.42,Open Hearth iron,5.78
4.89,7.5,54.4,5.9,5.7,70.4,1.5,Open Hearth iron,6.2
6.84,7.3,37.6,7.9,2.0,44.9,3.0,Wrought Iron,3.7
26.48,6.89,26.5,6.9,7.06,33.79,1.5,Bessemer Steel,4.18
31.9,7.1,12.4,12.1,33.5,12.8,1.5,Open Hearth iron,3.4
11.4,7.3,28.4,6.93,16.6,20.3,3.0,Open Hearth iron,2.19
23.7,6.2,31.2,5.09,10.8,30.9,3.0,Bessemer Steel,3.83
109.95,5.24,31.82,4.1,15.59,53.17,2.95,Bessemer Steel,0.85
12.67,4.28,34.5,2.0,26.65,71.13,1.32,Wrought Iron,3.38
1.3,7.0,29.4,6.19,7.2,32.4,3.0,Wrought Iron,2.93
9.85,6.01,33.02,2.0,2.38,47.13,2.95,Bessemer Steel,2.16
5.78,6.29,26.56,7.62,7.26,64.3,3.0,Wrought Iron,14.17
15.0,7.0,7.6,10.2,23.2,30.9,3.0,Wrought Iron,4.4
112.0,3.8,7.0,6.87,3.5,4.5,1.5,Bessemer Steel,4.97
28.2,6.8,24.8,16.32,15.8,52.1,1.5,Open Hearth iron,5.33
28.83,7.56,22.27,9.7,3.84,36.48,3.1,Wrought Iron,5.23
9.7,6.0,33.0,2.0,2.3,47.1,3.0,Open Hearth iron,2.5
17.7,7.6,25.7,11.77,2.6,46.1,1.5,Bessemer Steel,2.72
2.58,7.42,14.78,1.1,18.76,26.79,3.03,Wrought Iron,1.14
29.67,7.38,46.33,5.5,20.83,18.77,2.93,Wrought Iron,1.15
83.18,5.38,15.12,6.89,14.39,20.25,3.0,Wrought Iron,0.93
110.0,5.3,32.0,5.29,15.5,53.1,3.0,Open Hearth iron,1.22
1.66,5.6,43.6,11.19,3.47,9.8,1.5,Bessemer Steel,4.37
74.6,6.6,13.0,7.12,27.8,6.6,3.0,Bessemer Steel,4.08
2.9,9.5,21.7,3.19,34.5,9.4,3.0,Bessemer Steel,3.92
110.21,5.26,31.99,1.4,15.4,52.99,3.3,Bessemer Steel,0.32
110.0,5.3,32.0,4.0,15.5,53.1,3.0,Open Hearth iron,0.9
137.0,4.7,34.8,6.51,14.9,45.8,1.5,Wrought Iron,7.92
0.6,3.1,55.4,11.31,68.9,65.0,3.0,Wrought Iron,12.88
112.0,4.5,13.8,3.27,16.0,17.6,3.0,Open Hearth iron,1.34
205.0,4.7,2.8,17.4,38.1,0.6,1.5,Bessemer Steel,4.31
21.2,4.4,34.3,16.9,3.7,63.6,3.0,Bessemer Steel,5.1
386.0,4.5,3.0,6.75,32.1,2.6,1.5,Open Hearth iron,1.28
23.7,6.22,31.09,6.1,10.79,30.97,2.89,Wrought Iron,4.81
2.78,9.4,24.7,6.57,6.1,6.2,3.0,Wrought Iron,14.08
35.2,6.2,17.2,6.07,14.4,13.9,3.0,Open Hearth iron,2.99
74.4,5.6,24.2,6.28,7.5,15.3,3.0,Open Hearth iron,3.26
386.08,4.4,2.88,1.3,32.06,2.6,1.41,Open Hearth iron,0.23
114.0,4.5,13.0,8.74,34.7,5.6,3.0,Wrought Iron,1.04
4.89,7.5,54.4,8.0,5.7,70.4,3.0,Bessemer Steel,5.1
431.0,5.9,12.2,6.2,40.6,7.2,3.0,Wrought Iron,0.6
66.7,5.6,22.2,3.72,7.0,17.7,1.5,Open Hearth iron,3.49
66.7,5.6,22.2,7.35,7.0,17.7,3.0,Open Hearth iron,5.19
49.0,6.7,23.4,11.69,14.7,35.1,1.5,Open Hearth iron,3.86
28.9,7.17,46.26,16.35,20.19,21.18,3.0,Bessemer Steel,4.64
57.04,7.31,17.76,11.8,11.76,15.83,1.45,Wrought Iron,3.55
17.8,7.2,25.8,7.6,9.5,36.0,3.0,Open Hearth iron,1.8
430.99,5.94,12.19,4.2,40.7,7.23,1.44,Bessemer Steel,0.67
17.7,7.6,25.7,8.0,2.6,46.1,1.5,Wrought Iron,2.1
17.8,7.2,25.8,3.78,9.5,36.0,3.0,Bessemer Steel,1.41
6.84,7.3,37.6,5.9,2.0,44.9,1.5,Wrought Iron,4.2
112.0,4.5,13.8,17.7,16.0,17.6,1.5,Bessemer Steel,3.7
13.2,5.3,33.1,4.35,6.9,40.3,3.0,Wrought Iron,2.79
15.0,7.0,7.6,1.5,23.2,30.9,3.0,Bessemer Steel,1.2
35.18,7.08,42.3,6.93,21.63,29.34,1.5,Bessemer Steel,2.27
9.7,6.0,33.0,9.52,2.3,47.1,1.5,Wrought Iron,7.03
13.18,5.23,33.06,4.0,6.79,40.31,1.49,Open Hearth iron,2.5
137.0,4.7,34.8,4.27,14.9,45.8,3.0,Open Hearth iron,3.71
110.0,5.3,32.0,11.9,15.5,53.1,3.0,Wrought Iron,2.0
110.0,5.3,32.0,4.0,15.5,53.1,1.5,Wrought Iron,1.1
49.33,5.1,28.24,11.17,9.44,21.58,3.0,Bessemer Steel,7.75
24.17,6.74,26.41,15.32,10.67,28.83,3.0,Open Hearth iron,5.46
12.7,4.2,34.5,8.9,26.6,71.2,1.5,Bessemer Steel,12.35
12.7,4.2,34.5,12.0,26.6,71.2,1.5,Bessemer Steel,19.4
12.7,4.2,34.5,2.07,26.6,71.2,3.0,Bessemer Steel,4.19
23.72,6.22,31.15,5.8,10.78,31.06,1.5,Bessemer Steel,4.65
2.73,9.31,24.7,4.4,6.14,6.3,2.84,Wrought Iron,11.85
59.8,4.5,30.8,2.64,4.4,51.7,3.0,Bessemer Steel,2.71
3.3,7.6,37.0,9.9,8.7,70.1,1.5,Wrought Iron,5.1
431.0,5.9,12.2,8.1,40.6,7.2,3.0,Wrought Iron,0.9
28.2,6.8,24.8,5.5,15.8,52.1,3.0,Bessemer Steel,2.7
82.9,4.4,22.2,7.52,12.0,26.5,1.5,Wrought Iron,4.98
2.9,9.5,21.7,4.3,34.5,9.4,3.0,Bessemer Steel,4.6
0.6,3.1,55.4,8.0,68.9,65.0,1.5,Open Hearth iron,9.1
2.62,9.31,24.58,1.9,6.17,6.23,1.57,Open Hearth iron,5.45
20.78,7.37,17.98,4.0,10.81,25.97,2.89,Wrought Iron,2.34
28.0,6.92,24.97,11.4,15.74,52.06,1.59,Wrought Iron,4.76
17.8,7.2,25.8,6.09,9.5,36.0,3.0,Wrought Iron,1.82
112.08,3.74,6.99,2.1,3.52,4.42,1.48,Bessemer Steel,2.38
49.0,6.7,23.4,1.4,14.7,35.1,1.5,Bessemer Steel,1.1
28.2,6.8,24.8,4.96,15.8,52.1,3.0,Wrought Iron,2.41
11.4,7.3,28.4,7.64,16.6,20.3,1.5,Bessemer Steel,2.99
2.56,7.37,14.9,7.7,18.71,26.61,1.3,Wrought Iron,5.66
51.45,4.77,28.31,9.7,9.57,22.1,1.78,Open Hearth iron,6.63
146.03,6.65,23.52,12.54,16.25,26.71,1.5,Wrought Iron,6.54
19.7,4.6,28.4,5.64,3.9,34.2,1.5,Bessemer Steel,2.3
112.0,4.5,13.8,3.78,16.0,17.6,1.5,Open Hearth iron,1.37
53.95,5.93,23.77,9.59,6.5,22.01,3.0,Wrought Iron,5.65
2.7,7.34,14.73,9.6,18.73,26.7,2.85,Wrought Iron,12.37
31.9,7.1,12.4,12.1,33.5,12.8,1.5,Wrought Iron,4.4
86.51,4.94,34.11,8.28,11.64,43.56,3.0,Open Hearth iron,3.66
1.3,7.0,29.4,8.2,7.2,32.4,3.0,Wrought Iron,4.7
177.9,4.8,29.1,4.46,18.2,46.1,3.0,Wrought Iron,3.65
28.84,7.72,22.35,9.7,3.93,36.22,2.83,Bessemer Steel,4.65
31.9,7.1,12.4,4.1,33.5,12.8,1.5,Wrought Iron,1.9
17.7,7.6,25.7,5.59,2.6,46.1,1.5,Wrought Iron,1.6
113.93,4.42,13.08,12.0,34.8,5.53,1.53,Open Hearth iron,1.28
10.09,4.99,31.5,4.12,19.31,68.6,3.0,Wrought Iron,7.52
17.7,7.6,25.7,6.1,2.6,46.1,3.0,Bessemer Steel,2.2
13.15,7.0,28.8,4.94,4.9,35.8,1.5,Open Hearth iron,2.86
4.89,7.5,54.4,8.23,5.7,70.4,3.0,Bessemer Steel,5.27
205.0,4.7,2.8,11.1,38.1,0.6,1.5,Wrought Iron,2.82
